"yr","plt","grp","bio"
2000,107,"ANPP",193.402
2000,108,"ANPP",583.646
2000,109,"ANPP",406.877
2000,110,"ANPP",450.772
2000,111,"ANPP",1558.134
2000,112,"ANPP",357.376
2000,113,"ANPP",511.658
2000,114,"ANPP",298.043
2000,115,"ANPP",457.122
2000,116,"ANPP",258.633
2000,117,"ANPP",1563.041
2000,118,"ANPP",496.888
2000,119,"ANPP",269.916
2000,120,"ANPP",359.312
2000,121,"ANPP",581.956
2000,122,"ANPP",407.17
2000,123,"ANPP",480.255
2000,124,"ANPP",417.069
2000,125,"ANPP",1206.86
2000,126,"ANPP",1104.282
2000,127,"ANPP",534.495
2000,128,"ANPP",578.721
2000,129,"ANPP",246.91
2000,131,"ANPP",402.296
2000,134,"ANPP",585.506
2000,136,"ANPP",344.311
2000,137,"ANPP",196.75
2000,139,"ANPP",225.123
2000,142,"ANPP",542.647
2000,144,"ANPP",288.922
2001,1,"ANPP",571.19
2001,2,"ANPP",506.06
2001,3,"ANPP",478.42
2001,4,"ANPP",623.51
2001,5,"ANPP",1945.4
2001,6,"ANPP",990.06
2001,7,"ANPP",852.87
2001,8,"ANPP",575.38
2001,9,"ANPP",597.528
2001,10,"ANPP",709.76
2001,11,"ANPP",1061.738
2001,12,"ANPP",655.173
2001,13,"ANPP",491.65
2001,14,"ANPP",938.59
2001,15,"ANPP",527.07
2001,16,"ANPP",1108.11
2001,17,"ANPP",607.99
2001,18,"ANPP",598.88
2001,19,"ANPP",495.86
2001,20,"ANPP",733.85
2001,21,"ANPP",1166.9
2001,22,"ANPP",966.615
2001,23,"ANPP",772.53
2001,24,"ANPP",565.98
2001,25,"ANPP",242.07
2001,26,"ANPP",298.892
2001,27,"ANPP",484.937
2001,28,"ANPP",592.88
2001,29,"ANPP",481.697
2001,30,"ANPP",376.15
2001,31,"ANPP",666.73
2001,32,"ANPP",891.84
2001,33,"ANPP",1771.303
2001,34,"ANPP",417.147
2001,35,"ANPP",301.72
2001,36,"ANPP",920.38
2001,37,"ANPP",467.59
2001,38,"ANPP",729.7
2001,39,"ANPP",535.36
2001,40,"ANPP",621.18
2001,41,"ANPP",410.14
2001,42,"ANPP",490.89
2001,43,"ANPP",866.35
2001,44,"ANPP",520.354
2001,45,"ANPP",922.83
2001,46,"ANPP",311.81
2001,47,"ANPP",430.163
2001,48,"ANPP",934.8
2001,49,"ANPP",265.459
2001,50,"ANPP",271.71
2001,51,"ANPP",861.418
2001,52,"ANPP",403.708
2001,53,"ANPP",352.09
2001,54,"ANPP",1275.764
2001,55,"ANPP",1203.397
2001,56,"ANPP",497.13
2001,57,"ANPP",558.52
2001,58,"ANPP",964.82
2001,59,"ANPP",1215
2001,60,"ANPP",985.3
2001,61,"ANPP",593.97
2001,62,"ANPP",804.13
2001,63,"ANPP",455.291
2001,64,"ANPP",875.34
2001,65,"ANPP",411.43
2001,66,"ANPP",413.65
2001,67,"ANPP",726.186
2001,68,"ANPP",1440.533
2001,69,"ANPP",374.31
2001,70,"ANPP",638.05
2001,71,"ANPP",286.73
2001,72,"ANPP",587.35
2001,73,"ANPP",588.72
2001,74,"ANPP",676.72
2001,75,"ANPP",522.033
2001,76,"ANPP",495.177
2001,77,"ANPP",1543.805
2001,78,"ANPP",1030.846
2001,79,"ANPP",976.072
2001,80,"ANPP",736.061
2001,81,"ANPP",536.577
2001,82,"ANPP",660.18
2001,83,"ANPP",1313.99
2001,84,"ANPP",855.38
2001,85,"ANPP",774.37
2001,86,"ANPP",299.174
2001,87,"ANPP",562.853
2001,88,"ANPP",391.91
2001,89,"ANPP",501.754
2001,90,"ANPP",574.204
2001,91,"ANPP",486.49
2001,92,"ANPP",774.57
2001,93,"ANPP",935.56
2001,94,"ANPP",432.95
2001,95,"ANPP",494.03
2001,96,"ANPP",328.005
